﻿UIC;Gare;Jour de la semaine;Horaire en jour normal;Horaire en jour férié
0087785006;Cerbère;Mercredi;05:00-22:00;06:45-21:00
0087785006;Cerbère;Jeudi;05:00-22:00;06:45-21:00
0087784876;Bourg-Madame;Vendredi;08:00-20:45;08:00-20:45
0087784686;Villefranche - Vernet-les-Bains;Jeudi;06:00-20:00;06:00-20:00
0087784561;Ille-sur-Têt;Mercredi;06:15-20:30;
0087784256;Collioure;Lundi;14:30-18:00;
0087784256;Collioure;Mardi;09:15-13:00;
0087784231;Argelès-sur-Mer;Samedi;05:35-22:10;05:35-22:10
0087784173;Rivesaltes;Mercredi;05:30-22:35;05:30-22:35
0087784009;Perpignan;Mardi;05:00-23:45;06:00-23:45
0087784009;Perpignan;Vendredi;05:00-00:45;06:00-23:45
0087784009;Perpignan;Dimanche;06:00-23:45;06:00-23:45
0087783605;Mende;Samedi;07:10-21:30;08:20-21:30
0087783365;Sévérac-le-Château;Lundi;08:50-13:10;11:05-17:35
0087783365;Sévérac-le-Château;Lundi;14:30-17:15;11:05-17:35
0087783365;Sévérac-le-Château;Samedi;14:30-17:15;11:05-17:35
0087783282;Marvejols;Mercredi;06:30-20:00;11:50-16:50
0087783282;Marvejols;Vendredi;06:30-20:00;11:50-16:50
0087783001;Millau;Mercredi;05:40-21:05;08:45-22:15
0087781278;Agde;Lundi;04:30-23:30;05:30-23:30
0087781278;Agde;Mardi;04:30-23:30;05:30-23:30
0087781278;Agde;Samedi;05:30-23:30;05:30-23:30
0087781104;Narbonne;Jeudi;05:00-00:00;05:00-00:00
0087781088;Leucate la Franqui;Jeudi;10:00-11:45;
0087781088;Leucate la Franqui;Jeudi;13:00-16:45;
0087781062;Port-la-Nouvelle;Jeudi;12:50-16:15;
0087781005;Béziers;Lundi;04:00-00:00;
0087781005;Béziers;Dimanche;05:00-00:00;
0087775866;Le Grau-du-Roi;Lundi;10:45-13:00;10:00-13:00
0087775866;Le Grau-du-Roi;Vendredi;14:00-19:00;10:00-13:00
0087775866;Le Grau-du-Roi;Vendredi;14:00-19:00;14:45-19:00
0087775866;Le Grau-du-Roi;Samedi;10:00-13:00;14:45-19:00
0087775866;Le Grau-du-Roi;Dimanche;14:45-19:00;14:45-19:00
0087775858;Aigues-Mortes;Lundi;12:45-19:00;
0087775858;Aigues-Mortes;Mardi;06:30-12:15;
0087775817;Vauvert;Lundi;06:30-18:10;
0087775288;Alès;Mardi;05:40-22:10;06:40-22:10
0087775254;Grand-Combe la Pise;Dimanche;07:45-20:55;07:45-20:55
0087775213;Génolhac;Lundi;06:00-20:55;07:45-20:55
0087775213;Génolhac;Vendredi;06:00-20:55;07:45-20:55
0087775197;Villefort;Lundi;00:00-23:59;00:00-23:59
0087775171;La Bastide - Saint-Laurent-les-Bains;Vendredi;05:30-20:30;07:30-20:30
0087775171;La Bastide - Saint-Laurent-les-Bains;Samedi;06:40-20:30;07:30-20:30
0087775114;Vergèze - Codognan;Lundi;13:15-16:45;Fermé
